[2026-04-30 11:02:02] ColDense Individual Sample Performance
================================================================
Format: Category | Sample_Name | M | K | N | NNZ | WindowNum | BlockNum | FillRate | Performance(us)
JGD_Homology | ch5-5-b3 | 608 | 608 | 128 | 2400 | 38 | 113 | 0.08 | 12.180243
JGD_Homology | ch5-5-b4 | 128 | 608 | 128 | 600 | 8 | 38 | 0.06 | 9.820196
JGD_Homology | ch6-6-b1 | 464 | 48 | 128 | 900 | 29 | 50 | 0.07 | 18.920378
JGD_Homology | ch6-6-b2 | 2400 | 464 | 128 | 7200 | 150 | 325 | 0.09 | 26.460529
JGD_Homology | ch6-6-b3 | 5408 | 2400 | 128 | 21600 | 338 | 1013 | 0.08 | 62.581253
JGD_Homology | ch6-6-b4 | 4320 | 5408 | 128 | 21600 | 270 | 1080 | 0.08 | 67.341347
JGD_Homology | ch6-6-b5 | 720 | 4320 | 128 | 4320 | 45 | 270 | 0.06 | 20.020401
JGD_Homology | ch7-6-b1 | 640 | 48 | 128 | 1260 | 40 | 69 | 0.07 | 18.360367
JGD_Homology | ch7-6-b2 | 4208 | 640 | 128 | 12600 | 263 | 599 | 0.08 | 40.320805
JGD_Homology | ch7-6-b3 | 12608 | 4208 | 128 | 50400 | 788 | 2380 | 0.08 | 138.222763
JGD_Homology | ch7-6-b4 | 15120 | 12608 | 128 | 75600 | 945 | 3780 | 0.08 | 213.604279
JGD_Homology | ch7-6-b5 | 5040 | 15120 | 128 | 30240 | 315 | 1758 | 0.07 | 108.622169
JGD_Homology | ch7-7-b1 | 896 | 64 | 128 | 1764 | 56 | 99 | 0.07 | 27.900558
JGD_Homology | ch7-7-b2 | 7360 | 896 | 128 | 22050 | 460 | 1119 | 0.08 | 76.401527
JGD_Homology | ch7-7-b5 | 35280 | 52928 | 128 | 211680 | 2205 | 11025 | 0.07 | 292.325836
JGD_Homology | ch7-8-b1 | 1184 | 64 | 128 | 2352 | 74 | 129 | 0.07 | 32.580650
JGD_Homology | ch7-8-b2 | 11760 | 1184 | 128 | 35280 | 735 | 1867 | 0.07 | 119.302383
JGD_Homology | ch7-8-b3 | 58800 | 11760 | 128 | 235200 | 3675 | 11670 | 0.08 | 340.286804
JGD_Homology | ch7-8-b4 | 141120 | 58800 | 128 | 705600 | 8820 | 35385 | 0.08 | 938.798767
JGD_Homology | ch7-9-b1 | 1520 | 64 | 128 | 3024 | 95 | 145 | 0.08 | 17.500351
JGD_Homology | ch7-9-b2 | 17648 | 1520 | 128 | 52920 | 1103 | 2881 | 0.07 | 168.323364
JGD_Homology | ch7-9-b3 | 105840 | 17648 | 128 | 423360 | 6615 | 21842 | 0.08 | 633.472656
JGD_Homology | ch8-8-b1 | 1568 | 64 | 128 | 3136 | 98 | 151 | 0.08 | 21.940439
JGD_Homology | ch8-8-b2 | 18816 | 1568 | 128 | 56448 | 1176 | 3089 | 0.07 | 187.503754
JGD_Homology | ch8-8-b3 | 117600 | 18816 | 128 | 470400 | 7350 | 24421 | 0.08 | 705.774109
JGD_Homology | cis-n4c6-b1 | 224 | 32 | 128 | 420 | 14 | 21 | 0.08 | 9.460189
JGD_Homology | cis-n4c6-b13 | 6304 | 25616 | 128 | 88200 | 394 | 4954 | 0.07 | 284.185669
JGD_Homology | cis-n4c6-b14 | 928 | 6304 | 128 | 13800 | 58 | 777 | 0.07 | 59.861198
JGD_Homology | cis-n4c6-b15 | 64 | 928 | 128 | 960 | 4 | 60 | 0.06 | 24.100483
JGD_Homology | cis-n4c6-b2 | 1344 | 224 | 128 | 3990 | 84 | 178 | 0.09 | 16.460329
JGD_Homology | cis-n4c6-b3 | 5984 | 1344 | 128 | 23880 | 374 | 1126 | 0.08 | 74.541489
JGD_Homology | cis-n4c6-b4 | 20064 | 5984 | 128 | 100290 | 1254 | 4972 | 0.08 | 288.105774
JGD_Homology | klein-b1 | 32 | 16 | 128 | 60 | 2 | 2 | 0.12 | 9.480189
JGD_Homology | klein-b2 | 32 | 32 | 128 | 60 | 2 | 3 | 0.08 | 10.080201
JGD_Homology | lutz30-23-b6 | 1728 | 3008 | 128 | 12012 | 108 | 640 | 0.07 | 43.580872
JGD_Homology | mk10-b1 | 640 | 48 | 128 | 1260 | 40 | 70 | 0.07 | 18.200363
JGD_Homology | mk10-b2 | 3152 | 640 | 128 | 9450 | 197 | 451 | 0.08 | 19.040380
JGD_Homology | mk10-b3 | 4736 | 3152 | 128 | 18900 | 296 | 896 | 0.08 | 59.441189
JGD_Homology | mk10-b4 | 960 | 4736 | 128 | 4725 | 60 | 296 | 0.06 | 23.840477
JGD_Homology | mk11-b1 | 992 | 64 | 128 | 1980 | 62 | 107 | 0.07 | 21.220425
JGD_Homology | mk11-b2 | 6944 | 992 | 128 | 20790 | 434 | 1042 | 0.08 | 67.901360
JGD_Homology | mk11-b3 | 17328 | 6944 | 128 | 69300 | 1083 | 3289 | 0.08 | 186.283722
JGD_Homology | mk11-b4 | 10400 | 17328 | 128 | 51975 | 650 | 2770 | 0.07 | 165.903320
JGD_Homology | mk11-b4b | 9456 | 17328 | 128 | 47250 | 591 | 2529 | 0.07 | 152.203049
JGD_Homology | mk12-b1 | 1488 | 80 | 128 | 2970 | 93 | 159 | 0.07 | 31.100622
JGD_Homology | mk12-b2 | 13872 | 1488 | 128 | 41580 | 867 | 2227 | 0.07 | 135.222702
JGD_Homology | mk12-b3 | 51984 | 13872 | 128 | 207900 | 3249 | 10005 | 0.08 | 275.305511
JGD_Homology | mk12-b4 | 62384 | 51984 | 128 | 311850 | 3899 | 15641 | 0.08 | 421.028412
JGD_Homology | mk12-b5 | 10400 | 62384 | 128 | 62370 | 650 | 3899 | 0.06 | 219.904404
JGD_Homology | mk9-b1 | 384 | 48 | 128 | 756 | 24 | 36 | 0.08 | 11.300226
JGD_Homology | mk9-b2 | 1264 | 384 | 128 | 3780 | 79 | 177 | 0.08 | 16.080322
JGD_Homology | mk9-b3 | 960 | 1264 | 128 | 3780 | 60 | 192 | 0.08 | 17.620352
